"Group.1","x","y"
"Harvey, Brent",167,8.28440366972477
"Daniel, Caleb",168,0.486486486486487
"Neates, Ryan",169,-61
"Campbell, Matt",170,15.8
"Daniels, Brent",170,19.5714285714286
"McDonald-Tipungwuti, Anthony",171,-9.86363636363636
"Neade, Jake",171,10.1060606060606
"Callinan, Ian",172,17.5172413793103
"Hooper, Andrew",172,-70
"McGlynn, Ben",172,22.9325842696629
"Stengle, Tyson",172,-27
"Ugle, Kirk",172,39.6666666666667
"Baker, Liam",173,13
"Ballantyne, Hayden",173,4.56451612903226
"Kennedy-Harris, Jay",173,-14.3181818181818
"Kennedy Harris, Jay",173,15.6666666666667
"Matera, Brandon",173,-18.1121495327103
"Puopolo, Paul",173,23.5608108108108
"Rodan, David",173,-44.7368421052632
"Spargo, Charlie",173,34.2352941176471
"Betts, Eddie",174,13.9801324503311
"Blair, Jarryd",174,3.62809917355372
"Crowden, Mitch",174,-11.6666666666667
"Davey, Alwyn",174,3.32258064516129
"Garlett, Cruize",174,-2.28571428571429
"Hams, Ashton",174,18.0833333333333
"Lonie, Jack",174,-13.8
"Lovell, Kieran",174,-14.5
"Macpherson, Darcy",174,-35.9230769230769
"MacPherson, Darcy",174,-65.5
"Mitchell, Kane",174,3.22857142857143
"Phillips, Simon",174,-40
"Snelling, Will",174,23
"Wanganeen, Derick",174,48
"Bateman, Chance",175,28
"Bolton, Shai",175,9.44444444444444
"Byrnes, Shannon",175,-42.3703703703704
"Colyer, Travis",175,3.10606060606061
"Fisher, Zac",175,-32.3529411764706
"Giro, Stefan",175,-29.3
"Gregson, Cory",175,4.38461538461539
"Honeychurch, Mitch",175,-13.3714285714286
"Hrovat, Nathan",175,-7.34375
"Kennedy, Ben",175,1
"Prestia, Dion",175,-4.26548672566372
"Rioli, Willie",175,19.7826086956522
"Saad, Ahmed",175,-0.393939393939394
"Schneider, Adam",175,-19.3414634146341
"Taylor, Lewis",175,-30.7009345794393
"Zorko, Dayne",175,-24.0208333333333
"Adams, Leigh",176,14.6333333333333
"Djerrkura, Nathan",176,-36.4615384615385
"Gray, Sam",176,13.6052631578947
"Hitchcock, Cameron",176,0
"Krakouer, Andrew",176,4.08333333333333
"Maric, Addam",176,7.6
"McIntyre, Tim",176,58
"Milne, Stephen",176,5.02564102564103
"Murphy, Lachlan",176,7.90909090909091
"Nahas, Robin",176,8.69354838709677
"Smith, Devon",176,-17.5190839694656
"Stokes, Mathew",176,5.85393258426966
"Christensen, Allen",177,-8.28712871287129
"Couch, Tom",177,-12.3333333333333
"Davey, Aaron",177,-48.8214285714286
"DellOlio, Cory",177,-3.5
"Doughty, Michael",177,18.8333333333333
"Ellard, David",177,-14.6388888888889
"Fantasia, Orazio",177,-12.25
"Gresham, Jade",177,-11.3709677419355
"Hartung, Billy",177,21.0921052631579
"Higgins, Jack",177,26.25
"Karpany, Malcolm",177,0.714285714285714
"Laird, Rory",177,16.7438016528926
